;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
0;1;2;3;4;5;6;7;8;
Text;;;;;;;;1;
;Common;;;;;;;;
;;X;CED;;;;;;
;R2000+;;;;;;;;
;;RC;Data_Flags;;;;;;
;;RD;Elevation;;Data_Flags;!&;0x01;;
;;2RD;Insertion_Point;;;;;;
;;2DD;Alignment_Point;[10,20];Data_Flags;!&;0x02;;
;;BE;Extrusion;;;;;;
;;BT;Thickness;;;;;;
;;RD;Oblique_Angle;;Data_Flags;!&;0x04;;
;;RD;Rotation_Angle;;Data_Flags;!&;0x08;;
;;RD;Height;;;;;;
;;RD;Width_Factor;;Data_Flags;!&;0x10;;
;;TV;Text_Value;;;;;;
;;BS;Generation;;Data_Flags;!&;0x20;;
;;BS;Horizontal_Align;;Data_Flags;!&;0x40;;
;;BS;Vertical_Align;;Data_Flags;!&;0x80;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;;H;Style;;;;;;
;;X;CRC;;;;;;
ATTRIB;;;;;;;;2;
;Common;;;;;;;;
;;X;CED;;;;;;
;R2000+;;;;;;;;
;;RC;Data_Flags;;;;;;
;;RD;Elevation;;Data_Flags;!&;0x01;;
;;2RD;Insertion_Point;;;;;;
;;2DD;Alignment_Point;;Data_Flags;!&;0x02;;
;;BE;Extrusion;;;;;;
;;BT;Thickness;;;;;;
;;RD;Oblique_Angle;;Data_Flags;!&;0x04;;
;;RD;Rotation_Angle;;Data_Flags;!&;0x08;;
;;RD;Height;;;;;;
;;RD;Width_Factor;;Data_Flags;!&;0x10;;
;;TV;Text_Value;;;;;;
;;BS;Generation;;Data_Flags;!&;0x20;;
;;BS;Horizontal_Align;;Data_Flags;!&;0x40;;
;;BS;Vertical_Align;;Data_Flags;!&;0x80;;
;R2010+;;;;;;;;
;;RC;version;;;;;;
;Common;;;;;;;;
;;TV;Tag;;;;;;
;;BS;Field length;;;;;;
;;RC;flags;;;;;;
;;X;CEHD;;;;;;
;;H;style;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ATTDEF;;;;;;;;;
;Common;;;;;;;;
;;X;CED;;;;;;
;R2000+;;;;;;;;
;;RC;Data_Flags;;;;;;
;;RD;Elevation;;Data_Flags;!&;0x01;;
;;2RD;Insertion_Point;;;;;;
;;2DD;Alignment_Point;;Data_Flags;!&;0x02;;
;;BE;Extrusion;;;;;;
;;BT;Thickness;;;;;;
;;RD;Oblique_Angle;;Data_Flags;!&;0x04;;
;;RD;Rotation_Angle;;Data_Flags;!&;0x08;;
;;RD;Height;;;;;;
;;RD;Width_Factor;;Data_Flags;!&;0x10;;
;;TV;Text_Value;;;;;;
