;Version;Bit Type;Variable;Variable;Condition;value
;;;;;;
;R2007;;;;;
;;RL ;Size in bits;;;
;R2013+;;;;;
;;BLL ;REQUIREDVERSIONS;;;
;Common;;;;;
;;BD ; Unknown_01;;;
;;BD ; Unknown_02;;;
;;BD ; Unknown_03;;;
;;BD ; Unknown_04;;;
;;TV ; Unknown_05;;;
;;TV ; Unknown_06;;;
;;TV ; Unknown_07;;;
;;TV ; Unknown_08;;;
;;BL ; Unknown_09;;;
;;BL ; Unknown_10;;;
;R13-R14;;;;;
;;BS ; Unknown_11;;;
;R13-15;;;;;
;;H ;Current_Viewport_Handle;;;
;Common;;;;;
;;B ; DIMASO;;;
;;B ; DIMSHO;;;
;R13-R14;;;;;
;;B ; DIMSAV;;;
;Common;;;;;
;;B ; PLINEGEN;;;
;;B ; ORTHOMODE;;;
;;B ; REGENMODE;;;
;;B ; FILLMODE;;;
;;B ; QTEXTMODE;;;
;;B ; PSLTSCALE;;;
;;B ; LIMCHECK;;;
;R13-R14;;;;;
;;B ; BLIPMODE;;;
;R2004+;;;;;
;;B ; Undocumented;;;
;Common;;;;;
;;B ; USRTIMER;;;
;;B ; SKPOLY;;;
;;B ; ANGDIR;;;
;;B ; SPLFRAME;;;
;R13-R14;;;;;
;;B ; ATTREQ;;;
;;B ; ATTDIA;;;
;Common;;;;;
;;B ; MIRRTEXT;;;
;;B ; WORLDVIEW;;;
;R13-R14;;;;;
;;B ; WIREFRAME;;;
;Common;;;;;
;;B ; TILEMODE;;;
;;B ; PLIMCHECK;;;
;;B ; VISRETAIN;;;
;R13-R14;;;;;
;;B ; DELOBJ;;;
;Common;;;;;
;;B ; DISPSILH;;;
;;B ; PELLIPSE;;;
;;BS ; PROXYGRAPHICS;;;
;R13-R14;;;;;
;;BS ; DRAGMODE;;;
;Common;;;;;
;;BS ; TREEDEPTH;;;
;;BS ; LUNITS;;;
;;BS ; LUPREC;;;
;;BS ; AUNITS;;;
;;BS ; AUPREC;;;
;R13-R14;;;;;
;;BS ; OSMODE;;;
;Common;;;;;
;;BS ; ATTMODE;;;
;R13-R14;;;;;
;;BS ; COORDS;;;
;Common;;;;;
;;BS ; PDMODE;;;
;R13-R14;;;;;
;;BS ; PICKSTYLE;;;
;R2004+;;;;;
;;BL ; Unknown_12;;;
;;BL; Unknown_13;;;
;;BL ; Unknown_14;;;
;Common;;;;;
;;BS ; USERI1;;;
;;BS ; USERI2;;;
;;BS ; USERI3;;;
;;BS ; USERI4;;;
;;BS ; USERI5;;;
;;BS ; SPLINESEGS;;;
;;BS ; SURFU;;;
;;BS ; SURFV;;;
;;BS ; SURFTYPE;;;
;;BS ; SURFTAB1;;;
;;BS ; SURFTAB2;;;
;;BS ; SPLINETYPE;;;
;;BS ; SHADEDGE;;;
;;BS ; SHADEDIF;;;
;;BS ; UNITMODE;;;
;;BS ; MAXACTVP;;;
;;BS ; ISOLINES;;;
;;BS ; CMLJUST;;;
;;BS ; TEXTQLTY;;;
;;BD ; LTSCALE;;;
;;BD ; TEXTSIZE;;;
;;BD ; TRACEWID;;;
;;BD ; SKETCHINC;;;
;;BD ; FILLETRAD;;;
;;BD ; THICKNESS;;;
;;BD ; ANGBASE;;;
;;BD ; PDSIZE;;;
;;BD ; PLINEWID;;;
;;BD ; USERR1;;;
;;BD ; USERR2;;;
;;BD ; USERR3;;;
;;BD ; USERR4;;;
